time;Si (?mol/L);Al (?mol/L)
32.71666667;342.5966643;330.6100345
32.73333333;342.627822;330.756221
32.75;342.6589797;330.8804058
32.76666667;342.7264281;330.7543212
32.78333333;342.8115315;330.6474881
32.8;342.8613249;330.4911512
32.81666667;342.9287734;330.3623164
32.83333333;342.9236403;330.2692344
32.85;342.9185073;330.1954038
32.86666667;342.8594285;330.3800933
32.88333333;342.7807332;330.5345304
32.9;342.7942359;330.4166965
32.91666667;342.8077386;330.318114
32.93333333;342.875187;330.3570422
32.95;342.9602904;330.3877197
32.96666667;343.0277388;330.5394066
32.98333333;343.113823;330.6663416
33;343.1812715;330.8812834
33.01666667;343.2673557;331.0604725
33.03333333;343.2798776;331.077399
33.05;343.2933803;331.0943254
33.06666667;343.324538;331.3120175
33.08333333;343.3556957;331.4967069
33.1;343.4054891;331.5658874
33.11666667;343.4729376;331.6268173
33.13333333;343.5766767;331.7069987
33.15;343.6990516;331.7761792
33.16666667;343.8027908;331.9581185
33.18333333;343.9251657;332.1070552
33.2;343.9926142;332.2669927
33.21666667;344.0786984;332.3994282
33.23333333;344.1471276;332.1798363
33.25;344.232231;331.9987475
33.26666667;344.2820244;331.809408
33.28333333;344.3504537;331.6558213
33.3;344.4541928;331.8322601
33.31666667;344.5765678;331.9784466
33.33333333;344.662652;331.9376186
33.35;344.767372;331.9022911
33.36666667;344.8534562;331.9054665
33.38333333;344.9581762;331.9058917
33.4;344.9893338;332.1538361
33.41666667;345.0391273;332.357777
33.43333333;345.0516492;332.2674452
33.45;345.0651519;332.1908644
33.46666667;345.1326004;332.2132914
33.48333333;345.2186846;332.2302178
33.5;345.2871138;332.1756388
33.51666667;345.373198;332.1320606
33.53333333;345.4229915;332.2727466
33.55;345.472785;332.391431
33.56666667;345.4676519;332.5651196
33.58333333;345.4625189;332.7140563
33.6;345.4760216;332.7997381
33.61666667;345.4708885;332.8716689
33.63333333;345.5020462;332.9848528
33.65;345.5332039;333.0787852
33.66666667;345.6016332;333.241473
33.68333333;345.6877174;333.3766586
33.7;345.8287281;333.5420966
33.71666667;345.9883746;333.6800324
33.73333333;346.1293853;333.7932164
33.75;346.3076676;333.8871488
33.76666667;346.4310233;333.8188187
33.78333333;346.5906698;333.7614894
33.8;346.7503163;333.6684074
33.81666667;346.9472344;333.5918267
33.83333333;347.1068809;333.0367089
33.85;347.3224348;332.5778485
33.86666667;347.4830621;332.4710155
33.88333333;347.6976351;332.3834338
33.9;347.8582625;332.4883671
33.91666667;348.0551805;332.5767992
33.93333333;348.1795171;332.6569805
33.95;348.3215087;332.7234108
33.96666667;348.4272095;332.6990841
33.98333333;348.5505652;332.6802579
34;348.6189945;332.6091775
34.01666667;348.6874237;332.5490981
34.03333333;348.7931246;332.4505156
34.05;348.9351161;332.3684344
34.06666667;349.0221811;332.4018622
34.08333333;349.127882;332.4297895
34.1;349.2335828;332.3779607
34.11666667;349.3765552;332.3343825
34.13333333;349.4636202;332.312806
34.15;349.569321;332.2967299
34.16666667;349.656386;332.5034211
34.18333333;349.7620869;332.6743595
34.2;349.8677877;332.8095451
34.21666667;349.9921243;332.9254793
34.23333333;350.0791893;333.1239198
34.25;350.1662543;333.2866075
34.26666667;350.3092267;333.2402791
34.28333333;350.4708349;333.1994511
34.3;350.5765357;333.3401372
34.31666667;350.7008723;333.4588216
34.33333333;350.7889182;333.3794906
34.35;350.894619;333.3139107
34.36666667;350.9630482;333.3473385
34.38333333;351.0510941;333.378016
34.4;351.1381591;333.5682059
34.41666667;351.2448408;333.7308936
34.43333333;351.3505416;333.8633291
34.45;351.475859;333.9737628
34.46666667;351.5256525;334.2079561
34.48333333;351.5764268;334.4036464
34.5;351.6085653;334.5663342
34.51666667;351.6407038;334.7015198
34.53333333;351.6914781;334.534182
34.55;351.7599073;334.3943464
34.56666667;351.8293174;334.4662771
34.58333333;351.8987275;334.5299572
34.6;351.9495018;334.7173969
34.61666667;351.9992953;334.8745842
34.63333333;352.012798;334.7760018
34.65;352.0263007;334.6966708
34.66666667;352.0211677;334.774102
34.68333333;351.9973989;334.8405323
34.7;351.9549942;335.0142209
34.71666667;351.8949347;335.1576572
34.73333333;351.8338943;335.2323381
34.75;351.7542181;335.293268
34.76666667;351.7304493;335.2359387
34.78333333;351.6880446;335.1868601
34.8;351.6642758;335.3522981
34.81666667;351.622852;335.4874837
34.83333333;351.5990832;335.4274042
34.85;351.5753144;335.3783256
34.86666667;351.5515455;335.6455215
34.88333333;351.5091409;335.8714641
34.9;351.4667363;336.0479029
34.91666667;351.4056959;336.1940894
34.93333333;351.3819271;336.354027
34.95;351.3581582;336.4892126
34.96666667;351.3353702;336.7096548
34.98333333;351.2929656;336.8943443
35;351.3427591;336.9415231
35.01666667;351.3935334;336.9777011
35.03333333;351.4070361;336.9121212
35.05;351.4205388;336.8575421
35.06666667;351.4340416;337.033981
35.08333333;351.4475443;337.1801675
35.1;351.4051397;337.2740999
35.11666667;351.3627351;337.3542813
35.13333333;351.3948736;336.9779273
35.15;351.4456479;336.6620781
35.16666667;351.515058;336.7120071
35.18333333;351.5834872;336.7536855
35.2;351.7088047;336.6633537
35.21666667;351.851777;336.5895231
35.23333333;351.9398229;336.8127156
35.25;352.0465045;336.997405
35.26666667;352.0600073;337.2370988
35.28333333;352.07351;337.4355393
35.3;352.1046677;337.6642322
35.31666667;352.1368062;337.8571723
35.33333333;352.1689447;338.1326188
35.35;352.219719;338.3613116
35.36666667;352.3077649;338.4607445
35.38333333;352.4144465;338.5464263
35.4;352.4838566;338.5000979
35.41666667;352.5719025;338.4620201
35.43333333;352.6403317;338.2671802
35.45;352.7283776;338.1053429
35.46666667;352.7232445;338.3615378
35.48333333;352.7181115;338.5764797
35.5;352.7688858;338.656661
35.51666667;352.8196601;338.7258416
35.53333333;352.8890702;338.9600348
35.55;352.977116;339.1557252
35.56666667;352.971983;339.3156627
35.58333333;352.9668499;339.4508483
35.6;352.9803527;339.5695327
35.61666667;352.9938554;339.6662154
35.63333333;352.9141792;339.7161444
35.65;352.8158673;339.7578228
35.66666667;352.8107342;339.5574825
35.68333333;352.7869654;339.3956451
35.7;352.8004681;339.4868273
35.71666667;352.8139708;339.5670087
35.73333333;352.8647451;339.6389395
35.75;352.9155194;339.6971191
35.76666667;353.1526516;339.5077797
35.78333333;353.4466719;339.3486925
35.8;354.1506794;339.4976292
35.81666667;355.0243706;339.6245642
35.83333333;355.3939149;339.490229
35.85;355.8389831;339.3778955
35.86666667;355.8721024;339.4635773
35.88333333;355.9228767;339.535508
35.9;355.7490408;339.5359332
35.91666667;355.5183167;339.5363584
35.93333333;355.4200047;339.7953036
35.95;355.3020762;340.0129957
35.96666667;355.3714863;340.2059358
35.98333333;355.4605129;340.3658733
36;355.7741499;340.25629
36.01666667;356.1633107;340.1687084
36.03333333;356.5338358;340.2873927
36.05;356.9985207;340.3868256
36.06666667;356.806049;340.0957283
36.08333333;356.5557082;339.8513845
36.1;356.4760321;339.7032982
36.11666667;356.3581035;339.5799639
36.13333333;356.390242;339.695898
36.15;356.4223805;339.7925807
36.16666667;356.3986117;339.9827706
36.18333333;356.3748429;340.1427081
36.2;356.1823712;340.3053959
36.21666667;355.9330113;340.4405815
36.23333333;355.8150827;340.548265
36.25;355.6598825;340.6394472
36.26666667;355.5792255;340.5656167
36.28333333;355.4809136;340.5055372
36.3;355.4188923;340.5802182
36.31666667;355.3205804;340.6466485
36.33333333;355.2026518;340.6718256
36.35;355.0474517;340.6942525
36.36666667;354.9677755;340.8239377
36.38333333;354.8498469;340.9316212
36.4;354.8074423;340.9457975
36.41666667;354.7650377;340.9599738
36.43333333;354.7599046;341.1364126
36.45;354.7547716;341.2825991
36.46666667;354.7682743;341.3077762
36.48333333;354.781777;341.3302031
36.5;354.6834651;341.5478951
36.51666667;354.5655365;341.7298344
36.53333333;354.4113172;341.7302596
36.55;354.2002097;341.733435
36.56666667;354.0450096;341.86037
36.58333333;353.8535187;341.9653033
36.6;353.7169543;341.8392187
36.61666667;353.5440992;341.7351358
36.63333333;353.4457873;341.8070666
36.65;353.3288395;341.8679965
36.66666667;353.2118918;341.9399272
36.68333333;353.0566916;342.0036073
36.7;352.9211081;341.9517785
36.71666667;352.7296172;341.9109505
36.73333333;352.6872126;341.8481208
36.75;352.6261722;341.7962919
36.76666667;352.6210392;341.4914435
36.78333333;352.6159061;341.2388492
36.8;352.703952;341.4097876
36.81666667;352.7919978;341.555974
36.83333333;352.9732226;341.7379133
36.85;353.1926998;341.8896002
36.86666667;353.3925603;341.8130195
36.88333333;353.6296925;341.7501898
36.9;353.7746265;341.9513805
36.91666667;353.9558513;342.1195687
36.93333333;354.1939642;341.8917262
36.95;354.4879845;341.705137
36.96666667;354.8016215;341.8348222
36.98333333;355.1898015;341.9452559
37;355.5603266;342.0666905
37.01666667;356.0240306;342.1688735
37.03333333;356.3955365;342.4250685
37.05;356.8415856;342.6372601
37.06666667;357.1189318;342.5606794
37.08333333;357.4531661;342.4978497
37.1;357.5981002;342.6962902
37.11666667;357.7822674;342.8672286
37.13333333;357.9840897;342.9501602
37.15;358.2251451;343.0220909
37.16666667;358.4465839;342.7777472
37.18333333;358.724911;342.5746567
37.2;358.9659664;342.6685891
37.21666667;359.2629292;342.7487705
37.23333333;359.4470965;342.8069502
37.25;359.6695161;342.854129
37.26666667;359.7781594;342.7445457
37.28333333;359.9054385;342.6542139
37.3;360.0336985;342.717894
37.31666667;360.1805942;342.7705732
37.33333333;360.3078732;342.8342533
37.35;360.4547689;342.8869326
37.36666667;360.582048;342.9478625
37.38333333;360.7289437;342.9977915
37.4;360.8572037;342.923961
37.41666667;361.0040994;342.8666317
37.43333333;360.9803305;343.010068
37.45;360.9555809;343.1315025
37.46666667;360.8553072;343.057672
37.48333333;360.7363978;342.9975925
37.5;360.6557408;342.808253
37.51666667;360.5554672;342.6519161
37.53333333;360.493446;342.751349
37.55;360.4314247;342.8315304
37.56666667;360.4066751;342.9144619
37.58333333;360.3632896;342.9836425
37.6;360.320885;343.1160779
37.61666667;360.2588638;343.2265116
37.63333333;360.177226;343.1224287
37.65;360.0779332;343.0375973
37.66666667;360.0149311;342.9500157
37.68333333;359.9529099;342.8761852
37.7;360.0429174;343.0746257
37.71666667;360.1329249;343.2373135
37.73333333;360.260204;343.3339961
37.75;360.4070997;343.4169277
37.76666667;360.4784715;343.5878661
37.78333333;360.5488624;343.7313024
37.8;360.6202341;343.7784812
37.81666667;360.7102416;343.8174094
37.83333333;360.7423801;343.7160767
37.85;360.7941353;343.6312454
37.86666667;360.9037594;343.727928
37.88333333;361.0310385;343.8081094
37.9;361.2161866;344.1193086
37.91666667;361.4395871;344.3810041
37.93333333;361.6826042;344.5244403
37.95;361.9825095;344.6458749
37.96666667;362.1862934;344.7838107
37.98333333;362.4293105;344.9024951
38;362.5958228;344.9854267
38.01666667;362.8015683;345.0546072
38.03333333;362.9298283;345.0797843
38.05;363.0963406;345.1022112
38.06666667;363.2638337;345.2979016
38.08333333;363.4499627;345.4633395
38.1;363.616475;345.4555141
38.11666667;363.8418371;345.4504389
38.13333333;363.9897137;345.384859
38.15;364.1758426;345.3302799
38.16666667;364.2668309;345.380209
38.18333333;364.3764551;345.4246376
38.2;364.371322;345.5543228
38.21666667;364.366189;345.6620063
38.23333333;364.3993083;345.720186
38.25;364.4324277;345.770115
38.26666667;364.5047802;345.9465538
38.28333333;364.5947878;346.0954905
38.3;364.7622809;346.1921732
38.31666667;364.9690073;346.2723546
38.33333333;365.040379;346.4075402
38.35;365.1313674;346.5179739
38.36666667;365.145851;346.5679029
38.38333333;365.1593537;346.6095813
38.4;365.2120896;346.7420168
38.41666667;365.2834614;346.8552007
38.43333333;365.3744497;346.9876361
38.45;365.4850547;347.0980698
38.46666667;365.5564265;347.1975027
38.48333333;365.6474148;347.2804343
38.5;365.7001508;347.1350982
38.51666667;365.7725033;347.0172643
38.53333333;365.8252393;347.089195
38.55;365.896611;347.1528751
38.56666667;365.9110946;347.2385569
38.58333333;365.9059616;347.3132379
38.6;365.9194643;347.3714175
38.61666667;365.9339479;347.4213466
38.63333333;366.0249362;347.6087863
38.65;366.1355412;347.7659736
